"ano";"raça";"Fem";"Mas";"total";"total_ano";"fem_ano";"mas_ano"
"1999";"AMARELA";7319;8566;15885;477416;210314;267102
"1999";"BRANCA";105793;124198;229991;477416;210314;267102
"1999";"INDIGENA";530;1054;1584;477416;210314;267102
"1999";"NAO INFORMADO";32792;50004;82796;477416;210314;267102
"1999";"PARDA";54612;74169;128781;477416;210314;267102
"1999";"PRETA";9268;9111;18379;477416;210314;267102
"2000";"AMARELA";7249;8498;15747;462828;203748;259080
"2000";"BRANCA";104437;123495;227932;462828;203748;259080
"2000";"INDIGENA";523;1033;1556;462828;203748;259080
"2000";"NAO INFORMADO";28780;43736;72516;462828;203748;259080
"2000";"PARDA";53654;73305;126959;462828;203748;259080
"2000";"PRETA";9105;9013;18118;462828;203748;259080
"2001";"AMARELA";7112;8236;15348;446363;198272;248091
"2001";"BRANCA";102902;120432;223334;446363;198272;248091
"2001";"INDIGENA";520;1024;1544;446363;198272;248091
"2001";"NAO INFORMADO";26400;39595;65995;446363;198272;248091
"2001";"PARDA";52394;70059;122453;446363;198272;248091
"2001";"PRETA";8944;8745;17689;446363;198272;248091
"2002";"AMARELA";6988;7455;14443;419664;192609;227055
"2002";"BRANCA";101395;116405;217800;419664;192609;227055
"2002";"INDIGENA";512;985;1497;419664;192609;227055
"2002";"NAO INFORMADO";24575;33266;57841;419664;192609;227055
"2002";"PARDA";50370;60926;111296;419664;192609;227055
"2002";"PRETA";8769;8018;16787;419664;192609;227055
"2003";"AMARELA";7078;7489;14567;419132;192290;226842
"2003";"BRANCA";102737;118494;221231;419132;192290;226842
"2003";"INDIGENA";504;994;1498;419132;192290;226842
"2003";"NAO INFORMADO";23215;31256;54471;419132;192290;226842
"2003";"PARDA";49983;60538;110521;419132;192290;226842
"2003";"PRETA";8773;8071;16844;419132;192290;226842
"2004";"AMARELA";7108;7512;14620;414170;189415;224755
"2004";"BRANCA";102444;118987;221431;414170;189415;224755
"2004";"INDIGENA";485;997;1482;414170;189415;224755
"2004";"NAO INFORMADO";20960;28848;49808;414170;189415;224755
"2004";"PARDA";49673;60326;109999;414170;189415;224755
"2004";"PRETA";8745;8085;16830;414170;189415;224755
